,ID,API Name,Details,Func Return,Func Parameter,Start,Duration,Queued,Submitted
:,3975,cuCtxSynchronize,,CUDA_SUCCESS(0),(),,,,
:,3976,cudaMemcpyToSymbol,,cudaSuccess(0),"(0x557cd872c180, 0x7ffd8cd8f638, 8, 0, cudaMemcpyHostToDevice(1))",,,,
:,3977,cuModuleGetGlobal_v2,,CUDA_SUCCESS(0),"(0x7ffd8cd8f3a8{0x601760000}, 0x7ffd8cd8f3b0{8}, 0x557cf24f9390, ""global_min"")",,,,
:,3978,cuMemcpyHtoD_v2,,CUDA_SUCCESS(0),"(0x601760000, 0x7ffd8cd8f638, 8)",,,,
:,3979,cudaGetLastError,,cudaSuccess(0),,,,,
:,3980,cudaLaunchKernel,,cudaSuccess(0),"(0x557cd87224fd, {30,1,1}, {1024,1,1}, 0x7ffd8cd8f570{0x7ffd8cd8f538}, 0, 0x0)",,,,
:,3981,cuLaunchKernel,,CUDA_SUCCESS(0),"(0x557cf2500180, 30, 1, 1, 1024, 1, 1, 0, 0x0, 0x7ffd8cd8f570{0x7ffd8cd8f538}, 0x0)",,,,
:,3982,fusedMinKernel,Error: Profiling is not supported on this device,cudaSuccess(0),,,,,
:,3983,cudaGetLastError,,cudaSuccess(0),,,,,
:,3984,cudaDeviceSynchronize,,cudaSuccess(0),,,,,
:,3985,cuCtxSynchronize,,CUDA_SUCCESS(0),(),,,,
:,3986,cudaLaunchKernel,,cudaSuccess(0),"(0x557cd87226b9, {30,1,1}, {1024,1,1}, 0x7ffd8cd8f560{0x7ffd8cd8f528}, 0, 0x0)",,,,
:,3987,cuLaunchKernel,,CUDA_SUCCESS(0),"(0x557cf24f7cd0, 30, 1, 1, 1024, 1, 1, 0, 0x0, 0x7ffd8cd8f560{0x7ffd8cd8f528}, 0x0)",,,,
:,3988,short_path_update_atomic,Error: Profiling is not supported on this device,cudaSuccess(0),,,,,
:,3989,cudaGetLastError,,cudaSuccess(0),,,,,
:,3990,cudaDeviceSynchronize,,cudaSuccess(0),,,,,
:,3991,cuCtxSynchronize,,CUDA_SUCCESS(0),(),,,,
:,3992,cudaMemcpyToSymbol,,cudaSuccess(0),"(0x557cd872c180, 0x7ffd8cd8f638, 8, 0, cudaMemcpyHostToDevice(1))",,,,
:,3993,cuModuleGetGlobal_v2,,CUDA_SUCCESS(0),"(0x7ffd8cd8f3a8{0x601760000}, 0x7ffd8cd8f3b0{8}, 0x557cf24f9390, ""global_min"")",,,,
:,3994,cuMemcpyHtoD_v2,,CUDA_SUCCESS(0),"(0x601760000, 0x7ffd8cd8f638, 8)",,,,
:,3995,cudaGetLastError,,cudaSuccess(0),,,,,
,3996,cudaLaunchKernel,,,"(0x557cd87224fd, {30,1,1}, {1024,1,1}, 0x7ffd8cd8f570{0x7ffd8cd8f538}, 0, 0x0)",,,,
,3997,cuLaunchKernel,,,"(0x557cf2500180, 30, 1, 1, 1024, 1, 1, 0, 0x0, 0x7ffd8cd8f570{0x7ffd8cd8f538}, 0x0)",,,,
,3998,fusedMinKernel,Error: Profiling is not supported on this device,,,,,,
